timestamp,open,high,low,close,volume
2024-01-02 00:00:00,1.4525,1.4538,1.4519,1.4532,1250
2024-01-02 01:00:00,1.4532,1.4545,1.4528,1.4541,1180
2024-01-02 02:00:00,1.4541,1.4548,1.4535,1.4538,980
2024-01-02 03:00:00,1.4538,1.4542,1.4530,1.4533,890
2024-01-02 04:00:00,1.4533,1.4540,1.4525,1.4528,1050
2024-01-02 05:00:00,1.4528,1.4535,1.4522,1.4530,1120
2024-01-02 06:00:00,1.4530,1.4545,1.4528,1.4542,1340
2024-01-02 07:00:00,1.4542,1.4558,1.4540,1.4555,1560
2024-01-02 08:00:00,1.4555,1.4572,1.4553,1.4568,2180
2024-01-02 09:00:00,1.4568,1.4580,1.4565,1.4575,2350
2024-01-02 10:00:00,1.4575,1.4585,1.4570,1.4578,2120
2024-01-02 11:00:00,1.4578,1.4588,1.4572,1.4582,2010
2024-01-02 12:00:00,1.4582,1.4595,1.4580,1.4590,2450
2024-01-02 13:00:00,1.4590,1.4605,1.4588,1.4598,2680
2024-01-02 14:00:00,1.4598,1.4608,1.4592,1.4600,2380
2024-01-02 15:00:00,1.4600,1.4610,1.4595,1.4605,2190
2024-01-02 16:00:00,1.4605,1.4612,1.4598,1.4602,1980
2024-01-02 17:00:00,1.4602,1.4608,1.4595,1.4598,1720
2024-01-02 18:00:00,1.4598,1.4602,1.4590,1.4592,1450
2024-01-02 19:00:00,1.4592,1.4598,1.4585,1.4588,1280
2024-01-02 20:00:00,1.4588,1.4595,1.4582,1.4585,1150
2024-01-02 21:00:00,1.4585,1.4590,1.4578,1.4582,1020
2024-01-02 22:00:00,1.4582,1.4588,1.4575,1.4580,950
2024-01-02 23:00:00,1.4580,1.4585,1.4575,1.4578,880
2024-01-03 00:00:00,1.4578,1.4582,1.4570,1.4575,920
2024-01-03 01:00:00,1.4575,1.4580,1.4568,1.4572,850
2024-01-03 02:00:00,1.4572,1.4578,1.4565,1.4570,790
2024-01-03 03:00:00,1.4570,1.4575,1.4562,1.4568,810
2024-01-03 04:00:00,1.4568,1.4572,1.4560,1.4565,880
2024-01-03 05:00:00,1.4565,1.4570,1.4558,1.4562,920
2024-01-03 06:00:00,1.4562,1.4568,1.4555,1.4560,1050
2024-01-03 07:00:00,1.4560,1.4568,1.4555,1.4565,1180
2024-01-03 08:00:00,1.4565,1.4578,1.4562,1.4575,1820
2024-01-03 09:00:00,1.4575,1.4588,1.4572,1.4585,2150
2024-01-03 10:00:00,1.4585,1.4598,1.4582,1.4595,2280
2024-01-03 11:00:00,1.4595,1.4608,1.4592,1.4605,2190
2024-01-03 12:00:00,1.4605,1.4618,1.4602,1.4615,2450
2024-01-03 13:00:00,1.4615,1.4628,1.4612,1.4625,2680
2024-01-03 14:00:00,1.4625,1.4635,1.4620,1.4630,2520
2024-01-03 15:00:00,1.4630,1.4638,1.4625,1.4632,2280
2024-01-03 16:00:00,1.4632,1.4640,1.4628,1.4635,2050
2024-01-03 17:00:00,1.4635,1.4642,1.4630,1.4638,1820
2024-01-03 18:00:00,1.4638,1.4642,1.4632,1.4635,1580
2024-01-03 19:00:00,1.4635,1.4640,1.4628,1.4632,1380
2024-01-03 20:00:00,1.4632,1.4638,1.4625,1.4630,1220
2024-01-03 21:00:00,1.4630,1.4635,1.4622,1.4628,1080
2024-01-03 22:00:00,1.4628,1.4632,1.4620,1.4625,980
2024-01-03 23:00:00,1.4625,1.4630,1.4618,1.4622,920
2024-01-04 00:00:00,1.4622,1.4628,1.4615,1.4620,890
2024-01-04 01:00:00,1.4620,1.4625,1.4612,1.4618,850
2024-01-04 02:00:00,1.4618,1.4622,1.4610,1.4615,810
2024-01-04 03:00:00,1.4615,1.4620,1.4608,1.4612,780
2024-01-04 04:00:00,1.4612,1.4618,1.4605,1.4610,820
2024-01-04 05:00:00,1.4610,1.4615,1.4602,1.4608,880
2024-01-04 06:00:00,1.4608,1.4615,1.4600,1.4605,1020
2024-01-04 07:00:00,1.4605,1.4612,1.4598,1.4602,1180
2024-01-04 08:00:00,1.4602,1.4615,1.4600,1.4612,1950
2024-01-04 09:00:00,1.4612,1.4625,1.4610,1.4620,2280
2024-01-04 10:00:00,1.4620,1.4632,1.4618,1.4628,2350
2024-01-04 11:00:00,1.4628,1.4640,1.4625,1.4635,2280
2024-01-04 12:00:00,1.4635,1.4648,1.4632,1.4642,2520
2024-01-04 13:00:00,1.4642,1.4655,1.4640,1.4650,2780
2024-01-04 14:00:00,1.4650,1.4658,1.4645,1.4652,2480
2024-01-04 15:00:00,1.4652,1.4660,1.4648,1.4655,2280
2024-01-04 16:00:00,1.4655,1.4662,1.4650,1.4658,2050
2024-01-04 17:00:00,1.4658,1.4665,1.4652,1.4660,1820
2024-01-04 18:00:00,1.4660,1.4665,1.4655,1.4658,1550
2024-01-04 19:00:00,1.4658,1.4662,1.4650,1.4655,1320
2024-01-04 20:00:00,1.4655,1.4660,1.4648,1.4652,1180
2024-01-04 21:00:00,1.4652,1.4658,1.4645,1.4650,1050
2024-01-04 22:00:00,1.4650,1.4655,1.4642,1.4648,950
2024-01-04 23:00:00,1.4648,1.4652,1.4640,1.4645,890
2024-01-05 00:00:00,1.4645,1.4650,1.4638,1.4642,920
2024-01-05 01:00:00,1.4642,1.4648,1.4635,1.4640,850
2024-01-05 02:00:00,1.4640,1.4645,1.4632,1.4638,820
2024-01-05 03:00:00,1.4638,1.4642,1.4630,1.4635,790
2024-01-05 04:00:00,1.4635,1.4640,1.4628,1.4632,820
2024-01-05 05:00:00,1.4632,1.4638,1.4625,1.4630,880
2024-01-05 06:00:00,1.4630,1.4635,1.4622,1.4628,1020
2024-01-05 07:00:00,1.4628,1.4635,1.4620,1.4625,1150
2024-01-05 08:00:00,1.4625,1.4638,1.4622,1.4635,1980
2024-01-05 09:00:00,1.4635,1.4648,1.4632,1.4645,2280
2024-01-05 10:00:00,1.4645,1.4658,1.4642,1.4652,2420
2024-01-05 11:00:00,1.4652,1.4662,1.4648,1.4658,2350
2024-01-05 12:00:00,1.4658,1.4670,1.4655,1.4665,2580
2024-01-05 13:00:00,1.4665,1.4678,1.4662,1.4672,2820
2024-01-05 14:00:00,1.4672,1.4680,1.4668,1.4675,2520
2024-01-05 15:00:00,1.4675,1.4682,1.4670,1.4678,2350
2024-01-05 16:00:00,1.4678,1.4685,1.4672,1.4680,2120
2024-01-05 17:00:00,1.4680,1.4688,1.4675,1.4682,1880
2024-01-05 18:00:00,1.4682,1.4688,1.4678,1.4680,1620
2024-01-05 19:00:00,1.4680,1.4685,1.4672,1.4678,1380
2024-01-05 20:00:00,1.4678,1.4682,1.4670,1.4675,1220
2024-01-05 21:00:00,1.4675,1.4680,1.4668,1.4672,1080
2024-01-05 22:00:00,1.4672,1.4678,1.4665,1.4670,980
2024-01-05 23:00:00,1.4670,1.4675,1.4662,1.4668,920
